Sensor,Pass Average,Fail Average,Difference
sensor_162,4087.8872180451126,3742.980769230769,344.90644881434355
sensor_160,862.1120984278879,1167.0288461538462,304.9167477259583
sensor_022,-5636.36021872864,-5363.822115384615,272.5381033440244
sensor_025,-284.30092255639096,-495.4935865384615,211.19266398207054
sensor_161,541.5338345864661,747.3942307692307,205.8603961827646
sensor_163,4805.227614490773,4625.6442307692305,179.5833837215423
sensor_295,391.34122590567324,546.7809076923077,155.43968178663442
sensor_297,1887.0698163362952,1755.9046192307692,131.16519710552598
sensor_296,246.02467990430623,350.0111961538462,103.98651624953996
sensor_023,2705.13004101162,2617.7884615384614,87.34157947315862
sensor_091,8833.021081681478,8749.358032692307,83.66304898917042
sensor_512,270.77917170198225,343.82616923076927,73.04699752878702
sensor_024,-3811.0422077238554,-3739.863781730769,71.17842599308642
sensor_205,27.52882939166097,96.33493653846152,68.80610714680054
sensor_298,2345.148729254956,2280.882958653846,64.26577060111003
sensor_469,227.22125857826381,176.3233951923077,50.89786338595613
sensor_068,13.41703000683527,62.207329807692304,48.790299800857035
sensor_489,355.64068728639785,309.1308076923077,46.50987959409014
sensor_434,202.62228058783325,245.2264048076923,42.604124219859045
sensor_004,1398.1986566643882,1355.7814346153848,42.417222049003385
sensor_500,265.4357119617225,226.6257798076923,38.80993215403021
sensor_341,12.2048010252905,48.55767596153846,36.35287493624796
sensor_226,1036.2707998632945,1072.2105423076923,35.93974244439778
sensor_485,216.50001148325362,180.59559615384615,35.90441532940747
sensor_419,322.54708209159264,287.7276673076923,34.819414783900356
sensor_487,299.71234012303483,329.67441057692304,29.962070453888202
sensor_141,27.661773000683528,0.3183855769230769,27.34338742376045
sensor_486,201.45023677375258,176.0055971153846,25.444639658367976
sensor_511,54.430400683527,74.34794903846154,19.91754835493454
sensor_501,239.39284682159948,258.69346057692303,19.300613755323553
sensor_420,307.77582604237864,326.44035576923073,18.664529726852095
sensor_490,270.13909767600825,288.57741730769226,18.43831963168401
sensor_432,21.187932740943268,38.70734230769231,17.51940956674904
sensor_484,206.82739999999998,189.42007884615384,17.40732115384614
sensor_364,331.4469775803144,348.1442408653847,16.697263285070278
sensor_159,1020.9360007177032,1037.0308096153844,16.09480889768122
sensor_431,17.36416903622693,33.15611538461538,15.791946348388453
sensor_435,13.716830280246072,28.954782692307692,15.23795241206162
sensor_522,10.600730006835269,25.8089125,15.208182493164733
sensor_436,8.37338933697881,23.306973076923075,14.933583739944265
sensor_437,6.530367053998633,21.24868653846154,14.718319484462908
sensor_573,29.191639644565964,18.01961346153846,11.172026183027505
sensor_488,238.17600348598768,228.10276057692312,10.073242909064561
sensor_483,318.69564524948737,308.7728942307692,9.922751018718145
sensor_276,9.221211073137388,0.10601153846153848,9.115199534675849
sensor_116,747.9533277511962,739.3719509615386,8.581376789657611
sensor_001,3014.9331373889268,3007.52625,7.406887388926862
sensor_136,118.34996582365004,112.0576923076923,6.292273515957731
sensor_424,77.22876052631578,83.5093951923077,6.2806346659919114
sensor_138,122.25946684894053,128.4548076923077,6.195340843367163
sensor_060,2.5557311346548186,8.515123076923079,5.95939194226826
sensor_089,1807.4316734791526,1813.2076903846157,5.776016905463166
sensor_041,68.40471086807929,63.27060576923077,5.134105098848522
sensor_294,319.0922326725905,324.0981644230769,5.005931750486411
sensor_140,416.36216062884483,412.0683432692307,4.293817359614138
sensor_189,42.93650820232399,47.049798076923075,4.113289874599083
sensor_575,9.41139090909091,5.658487500000001,3.7529034090909095
sensor_520,8.801270198222829,12.374343750000001,3.5730735517771723
sensor_200,11.292494873547506,14.731153846153846,3.4386589726063406
sensor_197,8.4561995898838,11.827692307692306,3.371492717808506
sensor_461,28.980066473000683,32.225772115384615,3.245705642383932
sensor_204,29.86197922077922,33.04502115384616,3.1830419330669386
sensor_440,70.8470019822283,67.68731730769231,3.1596846745359954
sensor_005,4.375148667122351,1.3034048076923077,3.0717438594300437
sensor_556,57.0085083390294,59.86652307692308,2.858014737893683
sensor_152,14.226180792891316,11.444384615384614,2.7817961775067026
sensor_209,73.4342091592618,70.87344230769232,2.5607668515694826
sensor_578,16.80752918660287,14.318917307692308,2.4886118789105627
sensor_206,8.880047846889953,11.367019230769232,2.486971383879279
sensor_208,20.20885850991114,22.692019230769233,2.483160720858095
sensor_137,138.017976760082,140.47403846153844,2.4560617014564343
sensor_472,9.468171770334928,11.909639423076923,2.441467652741995
sensor_198,19.93263841421736,22.302788461538462,2.3701500473211006
sensor_139,57.43096363636363,59.79421923076923,2.363255594405601
sensor_478,6.101554682159945,8.398981730769231,2.2974270486092863
sensor_273,41.14692228298018,43.339398557692306,2.192476274712128
sensor_201,17.458397129186604,19.570288461538464,2.1118913323518598
sensor_439,54.55622590567327,56.63047596153846,2.0742500558651855
sensor_562,32.150507074504446,34.15173365384616,2.0012265793417114
sensor_071,619.2333946001368,617.2449288461539,1.9884657539828368
sensor_582,82.53237641831852,80.58405673076923,1.9483196875492865
sensor_577,5.69223014354067,3.7563278846153847,1.9359022589252857
sensor_272,45.92723807245386,47.8544173076923,1.927179235238441
sensor_433,99.19038318523582,101.06493365384615,1.8745504686103374
sensor_067,706.7883120300751,704.9710125,1.8172995300750472
sensor_134,1003.9253081339714,1005.7005471153848,1.7752389814133949
